SEQN,PAXDAYD,PAXDAYWD,PAXSSNDP,PAXMSTD,PAXTMD,PAXAISMD,PAXVMD,PAXMTSD,PAXWWMD,PAXSWMD,PAXNWMD,PAXUMD,PAXLXSD,PAXQFD
62170.0,b'3',b'3',10224000.0,b' 0:00:00',1440.0,2493051.0,1440.0,11641.899,900.0,471.0,5.397605346934028e-79,69.0,14141.590000000002,5.397605346934028e-79
62170.0,b'4',b'4',17136000.0,b' 0:00:00',1440.0,2490250.0,1440.0,14435.922000000002,978.0,390.0,5.397605346934028e-79,72.0,24227.210000000006,5.397605346934028e-79
62170.0,b'5',b'5',24048000.0,b' 0:00:00',1440.0,2542787.0,1440.0,13927.740999999998,915.0,480.0,5.397605346934028e-79,45.0,63339.64,5.397605346934028e-79
62170.0,b'6',b'6',30960000.0,b' 0:00:00',1440.0,3564510.0,1440.0,5299.635,597.0,769.0,5.397605346934028e-79,74.0,109213.09999999998,5.397605346934028e-79
62170.0,b'7',b'7',37872000.0,b' 0:00:00',1440.0,3133796.0,1437.0,5972.389,695.0,622.0,5.397605346934028e-79,120.0,195519.56000000003,3.0
62170.0,b'8',b'1',44784000.0,b' 0:00:00',1440.0,3098415.0,1440.0,7081.502,806.0,545.0,5.397605346934028e-79,89.0,189809.39,5.397605346934028e-79
62170.0,b'9',b'2',51696000.0,b' 0:00:00',760.0,2886708.0,760.0,1235.14,219.0,230.0,275.0,36.0,479.11,5.397605346934028e-79
62171.0,b'1',b'7',5.397605346934028e-79,b'12:30:00',690.0,411871.0,690.0,7433.734,647.0,5.397605346934028e-79,5.397605346934028e-79,43.0,114021.55,5.397605346934028e-79
62171.0,b'2',b'1',3312000.0,b' 0:00:00',1440.0,3516271.0,1440.0,8191.435,744.0,629.0,5.397605346934028e-79,67.0,252662.5,5.397605346934028e-79
62171.0,b'3',b'2',10224000.0,b' 0:00:00',1440.0,2346749.0,1426.0,18496.67,914.0,454.0,5.397605346934028e-79,58.0,365440.7599999999,14.0
62171.0,b'4',b'3',17136000.0,b' 0:00:00',1440.0,2819217.0,1434.0,14608.13,901.0,486.0,5.397605346934028e-79,47.0,206235.86999999997,6.0
62171.0,b'5',b'4',24048000.0,b' 0:00:00',1440.0,2700199.0,1429.0,13353.692,933.0,426.0,5.397605346934028e-79,70.0,255041.83,11.0
62171.0,b'6',b'5',30960000.0,b' 0:00:00',1440.0,2662843.0,1437.0,16501.809999999998,944.0,448.0,5.397605346934028e-79,45.0,225166.55,3.0
